timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708685128337,185,GET Users,200,OK,Workload Config 1-1,text,true,,1179,122,1,1,https://reqres.in/api/users/2,185,0,141
1708685128525,171,POST Users,200,OK,Workload Config 1-1,text,true,,2229,398,1,1,https://reqres.in/api/user,120,0,32
1708685128525,120,POST Users-0,301,Moved Permanently,Workload Config 1-1,,true,,610,255,1,1,http://reqres.in/api/user,120,0,32
1708685128645,51,POST Users-1,200,OK,Workload Config 1-1,text,true,,1619,143,1,1,https://reqres.in/api/user,42,0,0
1708685128834,134,GET Users,200,OK,Workload Config 1-2,text,true,,1186,122,1,1,https://reqres.in/api/users/2,134,0,83
1708685129334,142,GET Users,200,OK,Workload Config 1-3,text,true,,1190,122,2,2,https://reqres.in/api/users/2,142,0,102
1708685128969,552,POST Users,200,OK,Workload Config 1-2,text,true,,2216,398,2,2,https://reqres.in/api/user,79,0,44
1708685128969,79,POST Users-0,301,Moved Permanently,Workload Config 1-2,,true,,608,255,2,2,http://reqres.in/api/user,79,0,44
1708685129049,472,POST Users-1,200,OK,Workload Config 1-2,text,true,,1608,143,2,2,https://reqres.in/api/user,472,0,0
1708685129835,110,GET Users,200,OK,Workload Config 1-4,text,true,,1186,122,2,2,https://reqres.in/api/users/2,110,0,66
1708685129477,506,POST Users,200,OK,Workload Config 1-3,text,true,,2214,398,2,2,https://reqres.in/api/user,84,0,44
1708685129477,84,POST Users-0,301,Moved Permanently,Workload Config 1-3,,true,,606,255,2,2,http://reqres.in/api/user,84,0,44
1708685129561,422,POST Users-1,200,OK,Workload Config 1-3,text,true,,1608,143,2,2,https://reqres.in/api/user,422,0,0
1708685129946,481,POST Users,200,OK,Workload Config 1-4,text,true,,2228,398,2,2,https://reqres.in/api/user,72,0,34
1708685129946,72,POST Users-0,301,Moved Permanently,Workload Config 1-4,,true,,612,255,2,2,http://reqres.in/api/user,72,0,34
1708685130018,409,POST Users-1,200,OK,Workload Config 1-4,text,true,,1616,143,2,2,https://reqres.in/api/user,409,0,0
1708685130335,118,GET Users,200,OK,Workload Config 1-5,text,true,,1186,122,1,1,https://reqres.in/api/users/2,118,0,80
1708685130454,135,POST Users,200,OK,Workload Config 1-5,text,true,,2222,398,1,1,https://reqres.in/api/user,93,0,33
1708685130454,93,POST Users-0,301,Moved Permanently,Workload Config 1-5,,true,,606,255,1,1,http://reqres.in/api/user,93,0,33
1708685130547,42,POST Users-1,200,OK,Workload Config 1-5,text,true,,1616,143,1,1,https://reqres.in/api/user,36,0,0
1708685130837,492,GET Users,200,OK,Workload Config 1-6,text,true,,1183,122,1,1,https://reqres.in/api/users/2,492,0,78
1708685131336,115,GET Users,200,OK,Workload Config 1-7,text,true,,1183,122,2,2,https://reqres.in/api/users/2,115,0,72
1708685131329,467,POST Users,200,OK,Workload Config 1-6,text,true,,2212,398,2,2,https://reqres.in/api/user,74,0,32
1708685131329,74,POST Users-0,301,Moved Permanently,Workload Config 1-6,,true,,608,255,2,2,http://reqres.in/api/user,74,0,32
1708685131403,393,POST Users-1,200,OK,Workload Config 1-6,text,true,,1604,143,2,2,https://reqres.in/api/user,393,0,0
1708685131452,472,POST Users,200,OK,Workload Config 1-7,text,true,,2206,398,2,2,https://reqres.in/api/user,69,0,31
1708685131452,69,POST Users-0,301,Moved Permanently,Workload Config 1-7,,true,,602,255,2,2,http://reqres.in/api/user,69,0,31
1708685131521,403,POST Users-1,200,OK,Workload Config 1-7,text,true,,1604,143,2,2,https://reqres.in/api/user,403,0,0
1708685131836,123,GET Users,200,OK,Workload Config 1-8,text,true,,1179,122,1,1,https://reqres.in/api/users/2,123,0,80
1708685131960,106,POST Users,200,OK,Workload Config 1-8,text,true,,2223,398,1,1,https://reqres.in/api/user,71,0,32
1708685131960,71,POST Users-0,301,Moved Permanently,Workload Config 1-8,,true,,604,255,1,1,http://reqres.in/api/user,71,0,32
1708685132031,35,POST Users-1,200,OK,Workload Config 1-8,text,true,,1619,143,1,1,https://reqres.in/api/user,35,0,0
1708685132336,110,GET Users,200,OK,Workload Config 1-9,text,true,,1182,122,1,1,https://reqres.in/api/users/2,110,0,67
1708685132447,467,POST Users,200,OK,Workload Config 1-9,text,true,,2214,398,2,2,https://reqres.in/api/user,78,0,37
1708685132447,78,POST Users-0,301,Moved Permanently,Workload Config 1-9,,true,,606,255,2,2,http://reqres.in/api/user,78,0,37
1708685132525,389,POST Users-1,200,OK,Workload Config 1-9,text,true,,1608,143,2,2,https://reqres.in/api/user,389,0,0
1708685132836,132,GET Users,200,OK,Workload Config 1-10,text,true,,1186,122,1,1,https://reqres.in/api/users/2,132,0,87
1708685132969,138,POST Users,200,OK,Workload Config 1-10,text,true,,2224,398,1,1,https://reqres.in/api/user,102,0,34
1708685132969,102,POST Users-0,301,Moved Permanently,Workload Config 1-10,,true,,608,255,1,1,http://reqres.in/api/user,102,0,34
1708685133071,36,POST Users-1,200,OK,Workload Config 1-10,text,true,,1616,143,1,1,https://reqres.in/api/user,35,0,0
1708685133336,132,GET Users,200,OK,Workload Config 1-11,text,true,,1186,122,1,1,https://reqres.in/api/users/2,132,0,81
1708685133470,110,POST Users,200,OK,Workload Config 1-11,text,true,,2210,398,1,1,https://reqres.in/api/user,69,0,28
1708685133470,69,POST Users-0,301,Moved Permanently,Workload Config 1-11,,true,,602,255,1,1,http://reqres.in/api/user,69,0,28
1708685133539,41,POST Users-1,200,OK,Workload Config 1-11,text,true,,1608,143,1,1,https://reqres.in/api/user,41,0,0
1708685133835,117,GET Users,200,OK,Workload Config 1-12,text,true,,1178,122,1,1,https://reqres.in/api/users/2,117,0,75
1708685133953,466,POST Users,200,OK,Workload Config 1-12,text,true,,2222,398,2,2,https://reqres.in/api/user,77,0,30
1708685133953,77,POST Users-0,301,Moved Permanently,Workload Config 1-12,,true,,610,255,2,2,http://reqres.in/api/user,77,0,30
1708685134030,389,POST Users-1,200,OK,Workload Config 1-12,text,true,,1612,143,2,2,https://reqres.in/api/user,389,0,0
1708685134334,114,GET Users,200,OK,Workload Config 1-13,text,true,,1178,122,1,1,https://reqres.in/api/users/2,114,0,68
